cl objID RAJ2000 e_RAJ2000 DEJ2000 e_DEJ2000 umag e_umag gmag e_gmag rmag e_rmag imag e_imag zmag e_zmag ingalaxy
6 1237655504034726625 256.685531 0.018 35.464309 0.018 24.235 0.623 22.050 0.071 20.609 0.029 19.637 0.020 19.080 0.040 0.0
6 1237655504034661834 256.685717 0.138 35.507504 0.114 25.057 0.636 24.918 0.523 22.929 0.199 22.084 0.149 21.788 0.368 nan
3 1237655504034726993 256.685728 0.129 35.462081 0.144 22.570 0.379 23.118 0.304 21.971 0.154 22.229 0.304 22.573 0.984 1.0
6 1237655504034661636 256.685737 0.028 35.474855 0.029 22.637 0.224 21.593 0.049 21.288 0.048 21.046 0.058 20.853 0.173 0.0
3 1237655504034660902 256.686059 0.086 35.484192 0.118 24.264 0.830 24.894 0.640 21.761 0.109 21.018 0.082 20.983 0.255 nan
6 1237655504034660557 256.686059 0.001 35.513433 0.001 17.738 0.010 16.493 0.004 16.094 0.004 15.956 0.004 15.925 0.006 nan
3 1237655504034726621 256.686129 0.078 35.468724 0.100 22.696 0.451 21.583 0.085 20.638 0.052 20.554 0.078 20.205 0.201 1.0
3 1237655504034725950 256.686267 0.044 35.434877 0.038 24.635 0.852 21.437 0.054 20.998 0.045 21.019 0.069 22.827 0.644 1.0
3 1237655504034727047 256.686569 0.181 35.414023 0.189 22.615 0.354 23.057 0.256 21.970 0.138 22.063 0.237 21.387 0.458 nan
3 1237655504034726517 256.686587 0.070 35.459165 0.055 21.810 0.164 21.140 0.046 20.662 0.041 20.325 0.047 20.328 0.171 1.0
6 1237655504034660901 256.686776 0.002 35.485289 0.002 20.121 0.036 18.111 0.006 17.314 0.005 17.032 0.005 16.879 0.010 nan
3 1237655504034725964 256.686864 0.363 35.431897 0.422 24.395 0.804 26.001 0.454 23.173 0.283 23.394 0.495 23.161 0.619 1.0
3 1237655504034727068 256.687374 0.156 35.397674 0.180 23.361 0.584 23.113 0.251 22.229 0.159 21.735 0.161 21.836 0.581 nan
6 1237655504034661523 256.687399 0.026 35.525064 0.028 25.404 0.514 22.395 0.092 21.136 0.043 20.618 0.042 20.381 0.116 nan
6 1237655504034725945 256.687455 0.004 35.429806 0.004 22.290 0.175 19.768 0.014 18.548 0.008 18.053 0.008 17.826 0.017 0.0
6 1237655504034727073 256.687642 0.074 35.392179 0.078 23.122 0.339 23.498 0.244 22.267 0.113 21.231 0.069 20.550 0.140 nan
3 1237655504034727077 256.688108 0.125 35.388926 0.156 23.987 1.028 22.586 0.185 21.464 0.096 20.587 0.070 20.376 0.211 nan
3 1237655504034661816 256.688210 0.145 35.522567 0.175 24.106 0.814 23.477 0.295 22.412 0.169 21.614 0.134 20.599 0.192 nan
6 1237655504034725943 256.688264 0.058 35.436249 0.058 15.268 0.009 12.836 0.002 12.272 0.001 12.347 0.002 13.765 0.008 0.0
6 1237655504034725959 256.688351 0.148 35.431866 0.131 24.265 0.694 24.396 0.467 24.178 0.496 22.484 0.211 22.714 0.572 0.0
3 1237655504034661635 256.688439 0.123 35.478291 0.179 23.747 0.686 22.898 0.182 22.014 0.119 21.943 0.174 21.682 0.452 1.0
3 1237655504034726854 256.688459 0.089 35.372815 0.123 24.018 0.886 22.225 0.119 21.407 0.079 20.644 0.063 20.414 0.185 nan
3 1237655504034726285 256.688772 0.006 35.378911 0.006 20.015 0.065 18.134 0.008 17.213 0.006 16.811 0.006 16.497 0.013 nan
6 1237655504034727038 256.688854 0.107 35.417428 0.088 24.389 0.667 24.296 0.422 22.504 0.137 21.788 0.110 21.355 0.267 nan
6 1237655504034661509 256.689177 0.114 35.531629 0.111 25.337 0.522 23.457 0.219 24.112 0.437 24.366 0.557 22.987 0.504 nan
3 1237655504034727176 256.689328 0.178 35.459298 0.129 25.161 0.782 23.732 0.366 22.840 0.237 21.775 0.147 21.192 0.313 1.0
3 1237655504034661817 256.689627 0.110 35.523279 0.116 22.779 0.392 24.436 0.670 22.200 0.162 21.652 0.159 21.518 0.475 nan
3 1237655504034725892 256.689665 0.064 35.470879 0.066 24.555 0.845 22.919 0.181 21.718 0.086 20.799 0.060 20.152 0.122 1.0
3 1237655504034661597 256.690148 0.090 35.489616 0.103 25.195 0.781 22.558 0.136 21.580 0.081 21.495 0.117 20.850 0.234 nan
6 1237655504034726573 256.690212 0.025 35.391542 0.025 22.018 0.142 21.163 0.037 20.954 0.038 20.905 0.052 20.903 0.189 nan
